,Автор,Название картины,Ссылка на картину,Описание,Год,Размер,Материал,Техника,Жанр,Стиль,Галерея
0,Айвазовский Иван,Спокойное море,https://opisanie-kartin.ru/ajvazovskij-ivan/spokojnoe-more/,"  Время создания картины «Спокойное море» приходится на взлет творчества Ивана Айвазовского. Как и практически все произведения художника, полотно наполнено морскими мотивами, но от всех остальных, эта картина отличается своей эмоциональной зрелостью, хотя была написана в противоречивый период творчества художника — в тот момент у художника происходила переоценка моральных ценностей. Работа выполнена маслом, и очень хорошо передает игру света и морской воды. Мастерски и ненавязчиво, как бы невзначай, художник направляет взгляд зрителя с морской воды на корабль, который находится вблизи берега. Благодаря большому количества солнечного света около корабля, он не берет на себя главного акцента картины, делая полотно при этом невесомым и хрупким. Морская гладь и штиль — вот канва этого произведения, а всё вокруг – это органичное дополнение. В противовес величественному спокойствию моря Айвазовский добавляет суету людей на берегу, тем самым ещё более придавая значимости, и подчеркивая «главного персонажа» картины — морское спокойствие. ", 1863., 45 x 58 см., холст., масло., марина., романтизм., нет данных.
1,Айвазовский Иван,Неаполитанский залив утром,https://opisanie-kartin.ru/ajvazovskij-ivan/neapolitanskij-zaliv-utrom/,. , 1843., 67 x 100 см., холст., масло., марина., романтизм., нет данных.
2,Айвазовский Иван,Прощание А.С. Пушкина с морем,https://opisanie-kartin.ru/ajvazovskij-ivan/prosshanie-pushkina-s-chernym-morem/,"  «Дивное море написал Айвазовский… И я удостоился намалевать там фигурку», – так прокомментировал свою роль в создании этой картины Илья Репин. Правда, следует признать, что такие характеристики были вообще в стиле Репина – он очень восторженно отзывался об окружающих и весьма уничижительно о своих «скромных дарованиях», такой характер. Впрочем, это ничуть не умаляет достоинств действительно дивного моря, однако и к фигуре не будем столь строги, как автор ее. Пушкин с женой Натальей Гончаровой посетил выставку в Академии художеств. Это был сентябрь 1836 года. Прослышавшие об этом ученики побежали в зал, чтобы посмотреть вблизи на поэта. Среди них был и Айвазовский. Инспектор академии Крутов представил его Пушкину как претендента на золотую медаль. Юному Айвазовскому запало в душу то, как ласково поэт его приветил. Пушкина Айвазовский писал неоднократно. И в целом портреты в его наследии есть, но Айвазовский все же – не портретист, талант его в полную меру проявлялся в изображениях моря и неба. Приглашение Репина в соавторы – решение отличное. Дело в том, что даже когда на картине присутствуют люди, они всегда неизмеримо малы по сравнению с любимой стихией Айвазовского, и речь не только о физическом размере. Искренне восхищаясь «нашим всем», Айвазовский нашел отличный способ не затмить фигуру Пушкина стихией – попросил написать эту фигуру Илью Репина, который был отличным портретистом. В итоге перед нами великолепное море Айвазовского в лучших его проявлениях: бурлящее, живое, неистовое, с прозрачно-изумрудными волнами, с обрушивающейся со скалистого берега водой, море, шум которого слышишь, когда вглядываешься в картину. И яркая, отлично написанная фигура Пушкина. Взгляд поэта направлен вдаль, словно он прислушивается к рокоту волн, волосы развеваются на ветру, в одной руке шляпа, которую ветром почти сворачивает, вторая ладонь поэта опирается на камень. И, по замыслу Айвазовского, он произносит морю прощальные строки: Прощай, свободная стихия! В последний раз передо мной Ты катишь волны голубые И блещешь гордою красой… ", 1877., нет данных., холст., масло., портрет., романтизм.," Всероссийский музей А. С. Пушкина, Санкт-Петербург, Россия."
3,Айвазовский Иван,Смотр Черноморского флота в 1849 году,https://opisanie-kartin.ru/ajvazovskij-ivan/smotr-chernomorskogo-flota-v-1849-godu/,  , 1886., 131 x 249 см., холст., масло., марина., романтизм.," Центральный военно-морской музей, Санкт-Петербург, Россия."
4,Айвазовский Иван,Русско-турецкий морской бой при Синопе 18 ноября 1853 года,https://opisanie-kartin.ru/ajvazovskij-ivan/russko-tureckij-morskoj-boj-pri-sinope/,  , 1853., 331 x 220 см., холст., масло., батализм., романтизм.," Центральный военно-морской музей, Санкт-Петербург, Россия."
5,Айвазовский Иван,Девятый вал,https://opisanie-kartin.ru/ajvazovskij-ivan/devyatyj-val/,". Коллекционер и меценат Третьяков пристально следил за творчеством Айвазовского, посещал его выставки и мастерскую в Феодосии. На картине изображено море, сильно волнующееся после недавней бури. Но не все еще закончено — должен придти легендарный девятый вал — апогей бурь и штормов, самая мощная и разрушительная волна. Несколько уцелевших после кораблекрушения обессилевших людей цепляются за обломок мачты затонувшего корабля. Солнце, озаряющее небеса, словно бы подбадривает их, дает шансы на спасение, но темная, почти черная вода хочет поглотить мореплавателей, как уже поглотило их корабль. Это произведение написано Айвазовским во время своего творческого подъема. После «Девятого вала», он написал целую серию картин, изображающих море во время шторма («Радуга», «Корабль среди бурного моря»). Но самой известной стала картина «Девятый вал», это произведение стало своего рода пропуском к широчайшему мировому признанию живописного таланта Айвазовского. ", 1850., 221 x 332 см., холст., масло., марина., романтизм.," Государственный Русский музей, Санкт-Петербург, Россия."
6,Айвазовский Иван,Неаполитанский залив в лунном свете,https://opisanie-kartin.ru/ajvazovskij-ivan/neapolitanskij-zaliv-v-lunnom-svete/,"  В этой работе художник не просто точно передает красоту и особенности природы, но и откровенно любуется ею. Картина Айвазовского «Неаполитанский залив в лунном свете» — одно из самых известных произведений итальянского периода художника. Зритель видит залив, объятый ночными сумерками и словно погруженный в сон. На глади воды золотится волшебный свет лунной дорожки. Где-то вдали таинственно вырисовываются очертания Везувия. Древние башни, увитые плющом, погружены в дремоту. В одном окне чуть теплится огонек. Все вокруг словно окутано легкой прозрачной дымкой. Торжественность панорамного вида не устраняет тонкую лиричность картины. ", 1842., 92 x 141 см., холст., масло., пейзаж., романтизм.," картинная галерея им. И.К.Айвазовского, Феодосия, Крым."
7,Айвазовский Иван,Чесменская битва ночью,https://opisanie-kartin.ru/ajvazovskij-ivan/chesmenskaya-bitva-nochyu/,. , 1848., 193 х 183 см., холст., масло., батализм., романтизм.," Картинная галерея им. К.И.Айвазовского, Феодосия, Крым."
8,Айвазовский Иван,Петр I при Красной горке,https://opisanie-kartin.ru/ajvazovskij-ivan/petr-1-pri-krasnoj-gorke/,", который добрался до берега с одним из матросов. Петр при помощи костра указывает путь кораблям в эту страшную ночь. Высокие ревущие волны с неистощимой яростью набросились на флотилию, темное грозовое небо и разъяренная морская стихия вступили в союз против человека. Но человек не растерялся. Этот человек — Пётр. Он осветил путь кораблям и теперь они так просто не сдадутся буре. Пусть ветер свистит и бешено рвет паруса, человек оказывается сильнее природы, его воля сломит ярость волн. Свет, зажженный Петром на берегу, воодушевил моряков, и они, воспрянув духом, продолжают бороться со стихией. ", 1846., 223 x 335 см., холст., масло., марина., романтизм.," Государственный Русский музей, Санкт-Петербург, Россия."
9,Айвазовский Иван,Рыбаки на берегу моря,https://opisanie-kartin.ru/ajvazovskij-ivan/rybaki-na-beregu-morya/,  , 1852.," 93,5 х 143 см.", холст., масло., марина., романтизм.," Национальная картинная галерея Армении, Ереван."
